round_epochs,loss,f1_score,confusion_matrix_metric,val_loss,val_f1_score,val_confusion_matrix_metric,batch_size,dropout,lr,optimizer,tokens,units
1,0.9855262258342493,0.7894006,[[0.04347826 0.00662252 0.         0.         0.23076923 0.02222222
  0.00793651 0.         0.         0.         0.         0.0137741
  0.         0.         0.0037594  0.         0.01754386 0.
  0.03225806 0.         0.86445254]
 [0.00456621 0.00114811 0.         0.         0.05978261 0.00352113
  0.00101729 0.         0.         0.         0.         0.01628665
  0.         0.         0.00223714 0.         0.00233645 0.
  0.00127714 0.         0.9699738 ]
 [0.00826446 0.00195695 0.         0.         0.09496403 0.00607903
  0.00180343 0.         0.         0.         0.         0.01492537
  0.         0.         0.00280505 0.         0.00412371 0.
  0.002457   0.         0.9141782 ]],0.6738666831147768,0.8641596,[[0.         0.         0.         0.         1.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.8651724 ]
 [0.         0.         0.         0.         0.01626016 0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         1.        ]
 [0.         0.         0.         0.         0.032      0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.92771304]],64,0.1,0.001,Adam,20,100
